Name,Rating
Southpaw, 2
Thelma & Louise, 4
The Graduate, 3
Licorice Pizza, 2
Psycho, 4
The King's Speech, 3
King Richard, 5
Candyman, 1
True Romance, 3
CODA, 3
The Lighthouse, 2
The Lost City, 1
North Hollywood, 1
Rocketman, 3
Blow, 4
Bohemian Rhapsody, 4
Mr. & Mrs. Smith, 2
James Bond: No Time To Die, 2
The Man from U.N.C.L.E., 2
Everything Everywhere All at Once, 1
The Intouchables, 4
Driving Miss Daisy, 2
3 Idiots, 4
Upgrade, 3
Dead Poets Society, 1
Erin Brockovich, 3
A Time to Kill, 3
Elvis, 2
Nope, 1
Big Fish, 2
Almost Famous, 2
Fall, 3
Being John Malkovich, 3
Don't Worry Darling, 3
Magnolia, 2
The Final Destination, 1
Sound of Metal, 4
The Greatest Beer Run Ever, 3
Oldboy, 3
American Gangster, 3
Event Horizon, 1
The Bucket List, 2
Secret Window, 3
Barbarian, 1
Lightyear, 1
Bullet Train, 2
Adaptation, 1
Are We Done Yet?, 1
Smile, 2
Pinocchio (2022), 3
Avatar: The Way of Water, 3
Sonic the Hedgehog 2, 2
Roald Dahl's Matilda the Musical, 3
Talladega Nights: The Ballad of Ricky Bobby, 3
Zombieland: Double Tap, 3
Knives Out, 4
Varisu, 2
You People, 1
The Irishman, 1
All Quiet on the Western Front, 4
Glass Onion: A Knives Out Mystery, 3
What's Eating Gilbert Grape, 2
The Menu, 1
The Guilty, 1
The Whale, 3
Babylon, 2
Four Weddings and a Funeral, 1
Forgetting Sarah Marshall, 1
Road Trip, 2
Burnt, 2
EuroTrip, 1
Nobody, 1
Thirteen, 1
Ad Astra, 1
Top Gun: Maverick, 4
The Lobster, 2
A Quiet Place Part II, 2
Fruitvale Station, 2
Annihilation, 1
John Wick, 1
Freedom Writers, 4
Mystic River, 3
Old, 1
Awakenings, 2
Asteroid City, 2
Indiana Jones and the Dial of Destiny, 3
Patriots Day, 3
Traffic, 2
Oppenheimer, 2
Barbie, 2
Gattaca, 4
Air, 3
The Founder, 3
Human Traffic, 2
American Hustle, 2
October Sky, 3
Last Night in Soho, 2
T.I.M., 1
Seven Years in Tibet, 3
12 Mighty Orphans, 3
Red Eye, 1
Now You See Me, 1
The Covenant, 5
Logan Lucky, 2
Double Jeopardy, 3
Along Came A Spider, 2
Hell or High Water, 3
The Next Three Days, 3
Molly's Game, 3
Four Brothers, 2
Get Rich or Die Tryin', 2
Fair Play, 3
Leo, 2
21 Grams, 3
65, 1
Cinderella Man, 4
Blade Runner 2049, 4
Rushmore, 2
Wonka, 2
Reptile, 3
The Wrestler, 5
2 Guns, 2
Layer Cake, 3
Punch-Drunk Love, 3
Sunshine, 2
Chicken Run: Dawn of the Nugget, 1
American Underdog, 2
Close Encounters of the Third Kind, 1
Gifted Hands: The Ben Carson Story, 3
The Boy Who Harnessed the Wind, 4
The Negotiator, 2
Enemy, 4
